UDID,TO_ACTION,secondCateName,GPS_geo
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,GPS,,"(34.829674,114.245964)"
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,/viewAd,fushi,
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,/viewAd,fushi,
5c28b989-35b5-3fc9-a6fc-4cc7f147481d,/viewAd,fushi,
5c28e987d048aa6e,GPS,,"(43.881771,125.281960)"
5c28e987d048aa6e,/viewAd,lipinfuwu,
5c28e987d048aa6e,/viewAd,lipinfuwu,
5c28e987d048aa6e,/viewAd,lipinfuwu,
5c28e987d048aa6e,/viewAd,lipinfuwu,
5c28e987d048aa6e,/viewAd,lipinfuwu,
5c28e987d048aa6e,/viewAd,lipinfuwu,
5c28e987d048aa6e,/viewAd,shoucang,
5c28e987d048aa6e,/viewAd,shoucang,
5c28e987d048aa6e,/viewAd,shoucang,
5c28e987d048aa6e,/viewAd,shoucang,
5c28e987d048aa6e,GPS,,"(43.881855,125.281868)"
5c28e987d048aa6e,/viewAd,shoucang,
5c28e987d048aa6e,/viewAd,shoucang,
5c28e987d048aa6e,/viewAd,shoucang,
5c28e987d048aa6e,/viewAd,shoucang,
5c28e987d048aa6e,/viewAd,xiaoshou,
5c28e987d048aa6e,/viewAd,xiaoshou,
5c28e987d048aa6e,/viewAd,xiaoshou,
5c28e987d048aa6e,/viewAd,xiaoshou,
5c28e987d048aa6e,/viewAd,xiaoshou,
5c28e987d048aa6e,/viewAd,xiaoshou,
5c3bbc27a5cb9513,GPS,,"(31.617847,120.255722)"
5c3bbc27a5cb9513,GPS,,"(31.617390,120.229149)"
5c3bbc27a5cb9513,/viewAd,gongren,
5c3bbc27a5cb9513,GPS,,"(31.617950,120.229492)"
5c3bbc27a5cb9513,/viewAd,gongren,
5c3bbc27a5cb9513,/viewAd,gongren,
5cfd10cbdb1aa465,GPS,,"(23.148905,113.306900)"
5cfd10cbdb1aa465,GPS,,"(23.148617,113.306618)"
5cfd10cbdb1aa465,GPS,,"(23.148630,113.306648)"
5cfd10cbdb1aa465,GPS,,"(23.148630,113.306648)"
5cfd10cbdb1aa465,GPS,,"(23.148388,113.306839)"
5cfd10cbdb1aa465,GPS,,"(23.148399,113.306839)"
5cfd10cbdb1aa465,GPS,,"(23.148617,113.306618)"
5cfd10cbdb1aa465,GPS,,"(23.148827,113.306786)"
5cfd10cbdb1aa465,GPS,,"(23.148649,113.306816)"
5cfd10cbdb1aa465,GPS,,"(23.148855,113.306732)"
5cfd10cbdb1aa465,GPS,,"(23.148642,113.306717)"
5cfd10cbdb1aa465,GPS,,"(23.148617,113.306618)"
5cfd10cbdb1aa465,GPS,,"(23.149269,113.307022)"
5cfd10cbdb1aa465,/viewAd,xiaoshou,
5cfd10cbdb1aa465,GPS,,"(23.149006,113.306633)"
5cfd10cbdb1aa465,GPS,,"(23.149254,113.306946)"
5cfd10cbdb1aa465,GPS,,"(23.149319,113.306961)"
5cfd10cbdb1aa465,/viewAd,xiaoshou,
5cfd10cbdb1aa465,/viewAd,xiaoshou,
5cfd10cbdb1aa465,/viewAd,xiaoshou,
5cfd10cbdb1aa465,/viewAd,xiaoshou,
5cfd10cbdb1aa465,/viewAd,xiaoshou,
5cfd10cbdb1aa465,/viewAd,xiaoshou,
5cfd10cbdb1aa465,/viewAd,zhaopinhui,
5cfd10cbdb1aa465,GPS,,"(23.149164,113.306847)"
5cfd10cbdb1aa465,GPS,,"(23.149164,113.306847)"
5cfd10cbdb1aa465,GPS,,"(23.149124,113.306839)"
5d1e5a6f375474d3,GPS,,"(28.181616,113.020348)"
5d1e5a6f375474d3,GPS,,"(28.181549,113.020164)"
5d1e5a6f375474d3,GPS,,"(28.181053,113.020180)"
5d1e5a6f375474d3,GPS,,"(28.181549,113.020164)"
5d1e5a6f375474d3,GPS,,"(28.184666,113.015633)"
5d1fb59325919544,GPS,,"(34.367599,117.112816)"
5d1fb59325919544,GPS,,"(34.367462,117.112495)"
5d1fb59325919544,GPS,,"(34.377247,117.118584)"
5d1fb59325919544,/viewAd,dianqi,
5d1fb59325919544,GPS,,"(34.367462,117.112495)"
5d1fb59325919544,GPS,,"(34.377247,117.118584)"
5d1fb59325919544,GPS,,"(34.367462,117.112495)"
5d1fb59325919544,GPS,,"(34.377247,117.118584)"
5d1fb59325919544,GPS,,"(34.367462,117.112495)"
5db49aba54469aed,GPS,,"(36.909023,118.106529)"
5db49aba54469aed,/viewAd,ershoufang,
5db49aba54469aed,/viewAd,ershoufang,
5db49aba54469aed,/viewAd,ershoufang,
5db49aba54469aed,/viewAd,ershoufang,
5db49aba54469aed,/viewAd,ershoufang,
5db49aba54469aed,/viewAd,ershoufang,
5db49aba54469aed,/viewAd,ershoufang,
5db49aba54469aed,/viewAd,ershoufang,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,GPS,,"(38.811852,115.474525)"
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
