@relation gps_clustered

@attribute Instance_number numeric
@attribute udid string
@attribute jingdu numeric
@attribute weidu numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
81,38283560f806ecae5f09ec8866c5408d,0.255636,0.62343,cluster1
82,3de3bcafd9cf6fa605327f5f6c4bf2eb,0.282333,0.658777,cluster1
83,3de3bcafd9cf6fa605327f5f6c4bf2eb,0.282342,0.658772,cluster1
84,3de3bcafd9cf6fa605327f5f6c4bf2eb,0.282347,0.65877,cluster1
85,3de3bcafd9cf6fa605327f5f6c4bf2eb,0.282322,0.658782,cluster1
86,3de3bcafd9cf6fa605327f5f6c4bf2eb,0.281714,0.658826,cluster1
87,3de3bcafd9cf6fa605327f5f6c4bf2eb,0.281697,0.65882,cluster1
88,3de3bcafd9cf6fa605327f5f6c4bf2eb,0.281722,0.658829,cluster1
89,3de3bcafd9cf6fa605327f5f6c4bf2eb,0.281706,0.658823,cluster1
90,3de3bcafd9cf6fa605327f5f6c4bf2eb,0.281702,0.658822,cluster1
91,3de3bcafd9cf6fa605327f5f6c4bf2eb,0.281721,0.658828,cluster1
92,3e7b9dba4fad4d5ba22dfcc0e54208d0,0.315638,0.622157,cluster2
93,3e7b9dba4fad4d5ba22dfcc0e54208d0,0.315638,0.622157,cluster2
94,3e7b9dba4fad4d5ba22dfcc0e54208d0,0.315638,0.622157,cluster2
95,3f105e588eb8e5ae56acc592e9e57291,0.507918,0.703092,cluster3
96,3f1e7d0f2cf2f1a90639474b524ac08d,0.25382,0.633858,cluster1
97,3db14374a7d5812719e81d414a4c8adf,0.357295,0.675326,cluster10
98,3de3bcafd9cf6fa605327f5f6c4bf2eb,0.281718,0.658827,cluster1
99,3de3bcafd9cf6fa605327f5f6c4bf2eb,0.282346,0.65879,cluster1
100,3de3bcafd9cf6fa605327f5f6c4bf2eb,0.282343,0.658792,cluster1
101,3de3bcafd9cf6fa605327f5f6c4bf2eb,0.282322,0.658783,cluster1
102,3de3bcafd9cf6fa605327f5f6c4bf2eb,0.2817,0.658823,cluster1
103,4103bf29252c741a589e49fe9e368dd2,0.450467,0.627141,cluster6
104,4103bf29252c741a589e49fe9e368dd2,0.450462,0.627142,cluster6
105,4103bf29252c741a589e49fe9e368dd2,0.450122,0.62729,cluster6
106,4103bf29252c741a589e49fe9e368dd2,0.450122,0.62729,cluster6
107,4103bf29252c741a589e49fe9e368dd2,0.450122,0.62729,cluster6
108,431bf37977b2173cda9674d5ede6b1fa,0.36633,0.659985,cluster7
